"State","Overall rank","Affordability rank","Quality/cost of healthcare rank","Well-being rank","Weather rank","Crime rank"
"Delaware","1","20","39","2","8","34"
"West Virginia","2","1","50","27","21","14"
"Georgia","3","5","34","42","6","20"
"South Carolina","4","17","33","20","9","31"
"Missouri","5","9","18","35","22","43"
"Mississippi","6","2","49","46","5","15"
"Pennsylvania","7","25","20","14","32","9"
"Florida","8","37","19","3","3","11"
"Iowa","9","16","12","33","38","7"
"Wyoming","10","8","38","16","47","20"
"Alabama","11","4","41","40","9","29"
"Nebraska","12","14","21","32","35","20"
"Kansas","13","10","11","40","24","36"
"Idaho","14","18","1","45","43","19"
"Virginia","15","29","10","29","18","12"
"Illinois","16","22","25","23","28","17"
"Hawaii","17","45","17","1","1","29"
"Oregon","18","33","5","11","33","37"
"Tennessee","19","6","43","38","13","45"
"Wisconsin","20","28","16","17","45","12"
"Kentucky","21","11","46","48","16","6"
"South Dakota","22","19","40","18","41","25"
"Indiana","23","3","47","50","27","15"
"Arkansas","24","12","37","44","11","47"
"New Mexico","25","23","27","24","20","50"
"Ohio","26","15","45","36","29","23"
"North Carolina","27","23","31","33","17","31"
"Montana","28","31","8","12","46","34"
"Maine","29","35","22","10","44","2"
"Rhode Island","30","43","24","5","23","3"
"Connecticut","31","43","14","6","25","5"
"Utah","32","30","4","43","29","18"
"Louisiana","33","13","48","39","4","47"
"Oklahoma","34","7","42","49","15","41"
"New Jersey","35","40","28","13","19","4"
"Arizona","36","36","9","20","2","39"
"Michigan","37","21","26","31","40","28"
"New Hampshire","38","38","30","8","36","1"
"Vermont","39","42","13","7","39","7"
"Nevada","40","34","23","20","26","43"
"Minnesota","41","32","7","25","49","26"
"Texas","42","26","35","47","7","42"
"Maryland","43","46","15","19","14","24"
"Colorado","44","39","2","28","42","47"
"Massachusetts","45","48","29","8","31","9"
"North Dakota","46","26","36","37","48","26"
"California","47","50","6","15","12","46"
"Washington","48","47","3","30","34","39"
"New York","49","49","32","4","37","33"
"Alaska","50","41","44","26","50","38"
